Name,Organization,Service Area
Sample Profile 01,Example Community Makers Lab,Education
Sample Profile 02,Example Community Makers Lab,Education
Sample Profile 03,Harbor Mutual Aid Studio,Disaster Relief
Sample Profile 04,Harbor Mutual Aid Studio,"Disaster Relief, Food Access"
Sample Profile 05,Civic Health Sandbox,Health
Sample Profile 06,Civic Health Sandbox,Health
Sample Profile 07,Neighborhood Data Cooperative,Technology
Sample Profile 08,Neighborhood Data Cooperative,"Technology, Workforce Development"
Sample Profile 09,Green Steps Coalition,Environment
Sample Profile 10,Green Steps Coalition,Environment
Sample Profile 11,Family Access Bridge,Human Services
Sample Profile 12,Family Access Bridge,Human Services
